Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Number of Pages,Year Published,Date Read,Date Added,Exclusive Shelf,Body
21847076,The Good Girl,Mary Kubica,"Kubica, Mary",,,,5,Harlequin MIRA,400,2014,2016/11/10,2016/11/10,read,
7876209,The Art of Racing in the Rain,Garth Stein,"Stein, Garth",,,,5,HarperCollins e-books,338,2009,2016/11/06,2016/11/06,read,
6582214,The Life and Times of the Thunderbolt Kid,Bill Bryson,"Bryson, Bill",,,,5,,,,2016/10/14,2016/10/14,read,
22080193,Smoke Gets in Your Eyes: And Other Lessons from the Crematory,Caitlin Doughty,"Doughty, Caitlin",,,,5,W. W. Norton & Company,256,2014,2016/09/27,2016/09/27,read,
25206557,Around the World in 50 Years: My Adventure to Every Country on Earth,Albert Podell,"Podell, Albert",,,,5,Thomas Dunne Books,368,2015,2016/09/20,2016/09/20,read,
24420352,Those Girls: A Novel,Chevy Stevens,"Stevens, Chevy",,,,5,St. Martin's Press,385,2015,2016/08/31,2016/08/31,read,
11459962,What Alice Forgot,Liane Moriarty,"Moriarty, Liane",,,,5,Berkley,496,2011,2016/07/17,2016/07/17,read,
11869272,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,"Boo, Katherine",,1400067553,9781400067558,5,Random House,256,2012,2013/02/02,2013/01/14,read,
9097550,Something Porcine This Way Comes (Dunkin the Vampire Slayer #1),Greg Crites,"Crites, Greg",,,,5,veinarmor,177,2010,,2016/01/14,read,
10159133,"A Dog Year: Twelve Months, Four Dogs, and Me",Jon Katz,"Katz, Jon",,,,5,,,,2016/06/06,2016/06/06,read,
19473852,Five Days at Memorial: Life and Death in a Storm-Ravaged Hospital,Sheri  Fink,"Fink, Sheri",,,,5,Broadway Books,602,2013,2016/06/03,2016/06/03,read,
12260990,Elephant Girl: A Human Story,Jane Devin,"Devin, Jane",,,,5,,488,2011,2016/05/11,2016/05/11,read,
18889979,Spillover: Animal Infections and the Next Human Pandemic,David Quammen,"Quammen, David",,,,5,W. W. Norton & Company,592,2012,2016/05/06,2016/05/06,read,
28011471,On My Own,Diane Rehm,"Rehm, Diane",,,,5,Vintage,177,2016,2016/04/18,2016/04/18,read,
4982066,"Plum Island (John Corey, #1)",Nelson DeMille,"DeMille, Nelson",,,,5,,608,,2016/02/28,2016/02/28,read,
6277040,"The Dark Tower (The Dark Tower, #7)",Stephen King,"King, Stephen",,,,5,,1072,,2016/02/18,2016/02/18,read,
26186404,How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease,Michael Greger,"Greger, Michael",Gene Stone,,,5,Flatiron Books,576,2015,,2016/01/14,read,
216363,The Man in the High Castle,Philip K. Dick,"Dick, Philip K.",,0679740678,9780679740674,0,Vintage,259,1992,,2016/01/14,to-read,
13820672,Trial Junkies (Trial Junkies #1),Robert Gregory Browne,"Browne, Robert Gregory",,,,5,Penname Press/Braun Haus Media,375,2012,,2016/01/14,read,
13252282,"Night of the Assassin (Assassin, #1)",Russell Blake,"Blake, Russell",,,,5,,191,2011,,2016/01/14,read,
12859904,This Is Life (Jack Palms #2),Seth Harwood,"Harwood, Seth",,,,5,,240,,,2016/01/14,read,
925,"A Clean Kill in Tokyo (John Rain, #1)",Barry Eisler,"Eisler, Barry",,,,5,Barry Eisler,363,2002,,2016/01/14,read,
20621701,Amor and Exile,Nathaniel Hoffman,"Hoffman, Nathaniel",Nicole Salgado,,,4,Cordillera West Books,315,2013,,2016/01/14,read,
20335181,"No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State",Glenn Greenwald,"Greenwald, Glenn",,,,5,Metropolitan Books,304,2014,,2016/01/14,read,
22174807,Life on Foot: A Walk Across America,Nate Damm,"Damm, Nate",,,,5,,286,2014,,2016/01/14,read,
22584319,I Promise I Won't Kill You: A Hitchhiking Adventure,Nate Damm,"Damm, Nate",,,,5,,59,2014,,2016/01/14,read,
22847530,Mexican Humor 201,Cabo Bob,"Bob, Cabo","Linton Robinson, Escrit Lit, Jessica Creager",,,1,,159,2014,,2016/01/14,read,
21946734,Married with Luggage: What We Learned About Love by Traveling the World,Warren Talbot,"Talbot, Warren",Betsy Talbot,,,5,ES Scott Publishing,280,2014,,2016/01/14,read,
19298805,Living at Lake Chapala,Judy King,"King, Judy",,,,5,www.ajijicbooks.com,454,2013,,2016/01/14,read,
259028,The Devil in the White City,Erik Larson,"Larson, Erik",,0375725601,9780375725609,3,Vintage Books,447,2004,2007/11/01,2008/01/09,read,"While the information about the fair itself was very interesting, it paled in comparison to the intrigue of one of America's first serial killers.  Unfortunately the pages dedicated to the former outnumbered those dedicated to the latter a good two or three to one.  The result is a read that is a bit dry for my tastes."
4719232,Nocturnal,Scott Sigler,"Sigler, Scott",,,,5,,1,2007,,2013/01/14,read,
18760942,Designer Devil,Stuart Peel,"Peel, Stuart",,,,4,,329,2012,,2013/01/14,read,
8179291,Rise and Shine: The Extraordinary Story of One Man's Journey from Near Death to Full Recovery,Simon  Lewis,"Lewis, Simon",,1595800514,9781595800510,5,Santa Monica Press,360,2010,,2013/04/18,read,"Incredible loss, incredible journey. I first heard of Simon when I saw a TED talk that he gave. That led me to this astounding book.<br/><br/>I recommend this book to everyone I meet who is dealing with either American insurance companies or doctors. Simon's insights on both, forged through painful trial and error, are eye-opening. "
12262741,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,"Strayed, Cheryl",,0307592731,9780307592736,5,Knopf,315,2012,2013/04/18,2013/01/14,read,
1287676,"A Dragon Apparent: Travels in Cambodia, Laos & Vietnam",Norman Lewis,"Lewis, Norman",,090787133X,9780907871330,0,Eland,336,2003,,2013/03/29,to-read,
16000331,Fast Times in Palestine: A Love Affair with a Homeless Homeland,Pamela J. Olson,"Olson, Pamela J.",,158005482X,9781580054829,0,Seal Press,320,2013,,2013/02/26,to-read,
1923820,Holy Bible: King James Version,Anonymous,"Anonymous, Anonymous",,,,1,,1590,2008,2003/01/01,2013/01/23,read,"This is one of the only books I ever read more than once. It is not linear or chronological, so reading it in order is both difficult and not necessary, but in various forms and fashion I read each book of the bible a minimum of three times. Some books were read perhaps a dozen times. This reading occurred over about 30 years.<br/><br/>I did not do all of this reading because it was an enjoyable story, but out of a sense of compulsion. I grew up Christian and believed for forty years that the Bible held answers and mysteries and was a directly inspired message from God to man. Keep in mind that I was raised as a Fundamentalist, and that we believed in the infallibility of every word, including a literal six-day creation, the global flood, and a universe no older than 10,000 years or so...<br/><br/>I now believe quite the opposite, and thus the one-star review. I would like to break my review into a few sections:<br/><br/>History<br/><br/>The Bible is horribly inaccurate historically. A few time periods and names line up with reality and can be verified externally, but the vast majority can not. This extends from Genesis through the New Testament. Extensive archaeological expeditions have shown that people and places mentioned never existed, or existed only centuries after or before the time period referenced. There appears to have been no David or Solomon, or Solomon's temple, for example. No evidence of hundreds of thousands of Hebrews wandering in the desert. No mention of Israel in ancient Egyptian or Babylonian texts. Up until 500BC or so there appear to have been nothing more than a few nomadic tribes wandering around modern-day Israel. <br/><br/>Surprisingly, this lack of evidence extends even to the person of Jesus. What few external references there are are either vague or completely fabricated at a later date. The best evidence suggests a list of 'sayings' that were woven into a history by unknown authors a century after the time period in reference. The debate is hot and heavy here, but only inside Christian circles. Serious scholars outside those circles have long since moved on.<br/><br/>Science<br/><br/>There is simply no debate here - the Bible is as woefully ignorant of science as many other ancient texts, perhaps more so. The universe is either 3.5 billion years old or 10,000 years old. A global flood is either impossible or really happened. All life on earth was either created 10,000 years ago or evolved over several hundred million years. These are completely unreconcilable positions. It is either one or the other, both can not be true. To believe the Bible is to outright reject large disciplines of science.<br/><br/>Morality<br/><br/>Many religious faithful have managed to hold on to their faith in the Bible by doing a bit of a sidestep. They acknowledge the problems with history and science by claiming that the Bible was never intended to address those areas. Tales of creation and flood and ancient people are merely morality tales in this view, and what is important is the lessons they convey, not the details of time or place. They manage to fit the cosmic life cycle of the universe and of Earth in-between verses of Genesis.<br/><br/>It is a tricky balancing act, but it works for many. However, what about the morality that remains? Frankly, I find it as lacking as the history and science.<br/><br/>Even if you don't hold the Old Testament to be historically accurate, the depiction of God is one of anger and jealousy and petty revenge, a harsh taskmaster with bloodlust. This stands in stark contrast to the pacifist, turn-the-other-cheek, peace-loving, miracle-working, healing sacrificial Jesus. And yet both Jesus and Jehovah are said to be one-and-the same God. This is very difficult to reconcile, and yet fundamentalism attempts to do just that. The technique is simple, and in modern terms it is referred to as 'cherry-picking.'<br/><br/>The fact is that the words in the oldest manuscripts of the Bible have not changed for millenia, yet the interpretations have changed as often as the wind. This is why there are so many thousands of sects of religion. Humans tend to pick the interpretation that seems best to them.<br/><br/>This stands in stark contrast to the idea that the Bible supposedly contains absolute truth, especially in moral matters. Atheism is often criticized for lacking any sort of standard with which to guide one's life. How, they are asked, do you know right from wrong? The assumption is that the Bible is such a standard. However, if one simply takes just one step back and looks at the bigger picture, it is obvious that the Bible is no such thing. It is as rigid as water. Religious people have always differed on major issues, including justice, human rights, abortion, the death penalty and homosexuality. One would be hard-pressed to find a single passage of scripture which all believers agree on and follow closely.<br/><br/>However, if you do find such a passage of agreement (such as 'love thy neighbor') it is unlikely to be practiced as such. It is also likely to be found universally in other religions, most of which predate the Judeo-Christian versions. The fact is that the Bible fails miserably as a moral guide. <br/><br/>My Recommendation<br/><br/>I will not, in spite of what I just wrote, tell people to avoid this book. I don't recommend it particularly, but there may still be some value in reading it. This is especially true for those of other faiths. If you want to know why Jews and Christians behave the way they do, and why they say what they say, this is a good starting point. It has value as reference and research, but not much more.<br/><br/>There is one group, however, I do recommend this book to: believers. Unfortunately most of them have never read more than 10% of it. I definitely recommend that they do so, and that they think about what they read in context. But I urge caution here -- many a faith has been undermined by such an undertaking. Proceed with care!"
10363517,Finding Everett Ruess: The Life and Unsolved Disappearance of a Legendary Wilderness Explorer,David  Roberts,"Roberts, David",Jon Krakauer,030759176X,9780307591760,0,Broadway Books,416,2011,,2013/01/14,to-read,
1011812,Mexican Days: Journeys into the Heart of Mexico,Tony Cohan,"Cohan, Tony",,0767920910,9780767920919,5,Broadway Books,288,2007,,2013/01/14,read,
331429,On Mexican Time: A New Life In San Miguel,Tony Cohan,"Cohan, Tony",,0747553653,9780747553656,5,Bloomsbury Publishing PLC,,2001,,2013/01/14,read,
1968900,Angels Four,David  Nott,"Nott, David",,0130367982,9780130367983,4,Prentice Hall,191,1972,,2013/01/14,read,
188393,Cities of Gold: A Journey Across the American Southwest in Pursuit of Coronado,Douglas Preston,"Preston, Douglas",,0671737597,9780671737597,5,Simon & Schuster,480,1992,,2013/01/14,read,
350,Stranger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",,0441788386,9780441788385,5,Ace,528,1991,,2013/01/14,read,
32831,"The Mysterious Island (Extraordinary Voyages, #12)",Jules Verne,"Verne, Jules","Caleb Carr, Jordan Stump",0812972120,9780812972122,5,Modern Library,723,2004,,2013/01/14,read,
62659,Profit Over People: Neoliberalism and Global Order,Noam Chomsky,"Chomsky, Noam",Robert W. McChesney,1888363827,9781888363821,0,Seven Stories Press,175,2011,,2013/01/14,to-read,
38338,9-11,Noam Chomsky,"Chomsky, Noam","Greg Ruggiero, Marili Margomenou, Miguel Mora, Natalie Levisalles, Il Manifesto, Hartford Courant, David Barsamian, Radio B92, Elise Fried, Peter Kreysler, Gionarle del Popolo, Michael Albert",1583224890,9781583224892,5,Seven Stories Press,140,2001,,2013/01/14,read,
194805,Understanding Power: The Indispensable Chomsky,Noam Chomsky,"Chomsky, Noam","Peter R. Mitchell, John Schoeffel",1565847032,9781565847033,4,The New Press,416,2002,,2013/01/14,read,
89159,Judgment of Paris:  California vs. France and the Historic 1976 Paris Tasting That Revolutionized Wine,George M. Taber,"Taber, George M.",Robert G. Mondavi,0743297326,9780743297325,5,Scribner,336,2006,,2013/01/14,read,
5507552,Emergency: This Book Will Save Your Life,Neil Strauss,"Strauss, Neil",,0060898771,9780060898779,2,It Books,432,2009,,2013/01/14,read,
22163,The Wild Trees: A Story of Passion and Daring,Richard   Preston,"Preston, Richard",,1400064899,9781400064892,5,Random House (NY),294,2007,,2013/01/14,read,
16690,The Moon is a Harsh Mistress,Robert A. Heinlein,"Heinlein, Robert A.",,0340837942,9780340837948,5,Hodder & Stoughton,288,2005,,2013/01/14,read,
34266,It's All Too Much: An Easy Plan for Living a Richer Life with Less Stuff,Peter Walsh,"Walsh, Peter",,0743292642,9780743292641,3,Free Press,230,2007,,2013/01/14,read,
6289283,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,"McDougall, Christopher",,0307266303,9780307266309,5,Knopf,287,2009,,2013/01/14,read,
129356,Ghost Rider: Travels on the Healing Road,Neil Peart,"Peart, Neil",,1550225480,9781550225488,5,ECW Press,460,2002,,2013/01/14,read,
828,Interface,Neal Stephenson,"Stephenson, Neal","George F. Jewsbury, Stephen  Bury",0553383434,9780553383430,4,Spectra,640,2005,,2013/01/14,read,
825,Zodiac,Neal Stephenson,"Stephenson, Neal",,0553573861,9780553573862,4,Spectra,308,1995,,2013/01/14,read,
116257,"The System of the World (The Baroque Cycle, #3)",Neal Stephenson,"Stephenson, Neal",,0060750863,9780060750862,5,William Morrow Paperbacks,908,2005,,2013/01/14,read,
822,"The Confusion (The Baroque Cycle, #2)",Neal Stephenson,"Stephenson, Neal",,0060733357,9780060733353,5,William Morrow Paperbacks,815,2005,,2013/01/14,read,
823,"Quicksilver (The Baroque Cycle, #1)",Neal Stephenson,"Stephenson, Neal",,0060593083,9780060593087,5,Harper Perennial,927,2004,,2013/01/14,read,
827,"The Diamond Age: Or, A Young Lady's Illustrated Primer",Neal Stephenson,"Stephenson, Neal",,0553380966,9780553380965,5,Spectra,499,2000,,2013/01/14,read,
816,Cryptonomicon,Neal Stephenson,"Stephenson, Neal",,0060512806,9780060512804,5,Avon,1139,2002,,2013/01/14,read,
830,Snow Crash,Neal Stephenson,"Stephenson, Neal",,0553380958,9780553380958,4,Bantam Books,438,2000,,2013/01/14,read,
1505922,Brave Men Run - A Novel of the Sovereign Era,Matthew Wayne Selznick,"Selznick, Matthew Wayne",,141165661X,9781411656611,4,MWS MMedia,1,,,2013/01/14,read,
2855010,Playing for Keeps,Mur Lafferty,"Lafferty, Mur",,,,4,,260,2008,,2013/01/14,read,
470495,All Over But the Shoutin',Rick Bragg,"Bragg, Rick",,0679774025,9780679774020,0,Vintage,329,1998,,2013/01/14,to-read,
6515468,"The Primal Blueprint: Reprogram Your Genes for Effortless Weight Loss, Vibrant Health, and Boundless Energy",Mark Sisson,"Sisson, Mark",,0982207700,9780982207703,4,Primal Nutrition,283,2009,,2013/01/14,read,
303110,Earthcore,Scott Sigler,"Sigler, Scott",,1896944329,9781896944326,5,Dragon Moon Press,320,2005,,2013/01/14,read,
481601,Ancestor,Scott Sigler,"Sigler, Scott",,1896944736,9781896944739,5,Dragon Moon Press,261,2010,,2013/01/14,read,
3605324,"Contagious (Infected, #2)",Scott Sigler,"Sigler, Scott",,0307406318,9780307406316,5,Crown,438,2008,,2013/01/14,read,
2331954,"Infected (Infected, #1)",Scott Sigler,"Sigler, Scott",,0307406105,9780307406101,5,Crown,342,2008,,2013/01/14,read,
10890413,Be the Monkey: A Conversation About the New World of Publishing,Barry Eisler,"Eisler, Barry","J.A. Konrath, Jack Kilborn",,,5,,145,,,2013/01/14,read,
13503231,Dream Save Do: An Action Plan for Dreamers Like You,Betsy Talbot,"Talbot, Betsy",Warren Talbot,,,4,Married with Luggage,370,2013,,2013/01/14,read,
13438643,"The Manuscript (The Delphi Chronicle, #1)",Russell Blake,"Blake, Russell",,,9781619796171,4,Smashwords,,2011,,2013/01/14,read,
14377094,This Is Life a Jack Palms Novel,Seth J. Harwood,"Harwood, Seth J.",,1461160278,9781461160274,4,Createspace,370,2011,,2013/01/14,read,
15767851,"Timecaster Supersymmetry (Timecaster, #2)",Joe Kimball,"Kimball, Joe",,,9780985588038,4,Dystel & Goderich Literary Management,278,2012,,2013/01/14,read,
12483282,What Were We Thinking?,Nancy Sathre-Vogel,"Sathre-Vogel, Nancy",John E. Vogel,0983718709,9780983718703,3,,,,,2013/01/14,read,
13607987,Classified Woman,Sibel Edmonds,"Edmonds, Sibel",,0615602223,9780615602226,4,"Sibel Edmonds, Alexandria Virginia",342,2012,,2013/01/14,read,
17153392,Happier Than a Billionaire: The Sequel,Nadine Hays Pisani,"Pisani, Nadine Hays",,1481098225,9781481098229,3,Createspace Independent Publishing Platform,320,2012,,2013/01/14,read,
86161,Ugly Americans: The True Story of the Ivy League Cowboys Who Raided the Asian Markets for Millions,Ben Mezrich,"Mezrich, Ben",,0060575018,9780060575014,0,William Morrow Paperbacks,288,2005,,2012/08/03,to-read,
514313,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,"Mezrich, Ben",,0743225708,9780743225700,5,Free Press,272,2002,,2012/08/03,read,
13486356,"Lowcountry Bribe (Caroline Slade Mystery Series, #1)",C. Hope Clark,"Clark, C. Hope",,1611940907,9781611940909,0,Bell Bridge Books,272,2012,,2012/06/07,to-read,
3128539,Caxton Tempest at the End of the World,Ken Preston,"Preston, Ken",,1846858836,9781846858833,0,Exposure Publishing,240,2007,,2012/06/04,to-read,
13159033,King of Swords,Russell Blake,"Blake, Russell",,,,5,Manana Publishing,306,,2012/06/03,2012/06/03,read,Great book! Especially realistic and a bit unnerving as I am currently living in Mexico...
252577,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,"McCourt, Frank",,0007205236,9780007205233,3,Harper Perennial,452,2005,,2012/05/26,read,
40189,A Year in Provence,Peter Mayle,"Mayle, Peter",,0679731148,9780679731146,5,Vintage,207,1991,,2012/05/26,read,
210404,A Sand County Almanac and Sketches Here and There,Aldo Leopold,"Leopold, Aldo",,0195007778,9780195007770,5,"Oxford University Press, USA",269,1968,,2012/05/26,read,
51299,Letter to a Christian Nation,Sam Harris,"Harris, Sam",,0307265773,9780307265777,4,Knopf,91,2006,,2012/05/26,read,
14743,The God Delusion,Richard Dawkins,"Dawkins, Richard",,0618680004,9780618680009,5,Houghton Mifflin Co. (Boston/NY),374,2006,,2012/05/26,read,
9791,A Walk in the Woods,Bill Bryson,"Bryson, Bill",,0307279464,9780307279460,4,Anchor Books,397,2006,,2012/05/26,read,
139069,Endurance: Shackleton's Incredible Voyage,Alfred Lansing,"Lansing, Alfred",,078670621X,9780786706211,4,Carroll & Graf Publishers,282,1959,,2012/05/26,read,
1845,Into the Wild,Jon Krakauer,"Krakauer, Jon",,0385486804,9780385486804,5,Anchor Books,207,1997,,2012/05/26,read,
49353,"The Last Coyote (Harry Bosch, #4; Harry Bosch Universe, #4)",Michael Connelly,"Connelly, Michael",,075280944X,9780752809441,5,Orion,400,1997,,2012/05/26,read,
58962,"Trunk Music (Harry Bosch, #5; Harry Bosch Universe, #6)",Michael Connelly,"Connelly, Michael",,0312941919,9780312941918,5,St. Martin's Paperbacks,448,2006,,2012/05/26,read,
32504,"Blood Work (Terry McCaleb #1; Harry Bosch Universe, #8)",Michael Connelly,"Connelly, Michael",,0446690449,9780446690447,5,Grand Central Pub,480,2002,,2012/05/26,read,
49350,"The Concrete Blonde (Harry Bosch, #3; Harry Bosch Universe, #3)",Michael Connelly,"Connelly, Michael",,044661758X,9780446617581,5,Grand Central Publishing,484,2007,,2012/05/26,read,
24244,"The Black Ice (Harry Bosch, #2; Harry Bosch Universe, #2)",Michael Connelly,"Connelly, Michael",,0446613444,9780446613446,5,Vision,448,2003,,2012/05/26,read,
32501,"Echo Park (Harry Bosch, #12; Harry Bosch Universe, #15)",Michael Connelly,"Connelly, Michael",,0316734950,9780316734950,5,"Little, Brown & Company",405,2006,,2012/05/26,read,
2761626,"The Brass Verdict (Mickey Haller, #2; Harry Bosch Universe, #18)",Michael Connelly,"Connelly, Michael",,0316166294,9780316166294,5,"Little, Brown & Company",422,2008,,2012/05/26,read,
32506,"The Poet (Jack McEvoy, #1; Harry Bosch Universe, #5)",Michael Connelly,"Connelly, Michael",,0446690457,9780446690454,5,Grand Central Publishing,510,2002,,2012/05/26,read,
32508,"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)",Michael Connelly,"Connelly, Michael",,0446612731,9780446612739,5,Grand Central Publishing,482,2002,,2012/05/26,read,
79885,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #17)",Michael Connelly,"Connelly, Michael",,0739465511,9780739465516,5,"Little, Brown",404,2005,,2012/05/26,read,
960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,"Brown, Dan",,1416524797,9781416524793,4,Pocket Books,736,2006,,2012/05/26,read,
12605157,"The $100 Startup: Reinvent the Way You Make a Living, Do What You Love, and Create a New Future",Chris Guillebeau,"Guillebeau, Chris",,0307951529,9780307951526,5,Crown Business,268,2012,,2012/05/26,read,
